# Age, Temperature
3.999460000000000000e+05,5.090439218398755017e+00
4.099800000000000000e+05,6.150439218398755514e+00
4.148820000000000000e+05,4.750439218398755159e+00
4.199290000000000000e+05,3.960439218398755123e+00
4.301870000000000000e+05,-2.999560781601244841e+00
4.402060000000000000e+05,-4.459560781601243917e+00
4.497190000000000000e+05,-2.679560781601244557e+00
4.603440000000000000e+05,-3.759560781601244628e+00
4.649510000000000000e+05,-3.859560781601244273e+00
4.697060000000000000e+05,-2.679560781601244557e+00
4.801190000000000000e+05,-3.695607816012449476e-01
5.050800000000000000e+05,-4.595607816012448055e-01
5.101000000000000000e+05,-9.695607816012445923e-01
5.149890000000000000e+05,-3.995607816012451963e-01
5.201110000000000000e+05,8.304392183987552301e-01
5.250990000000000000e+05,2.304392183987555853e-01
5.299390000000000000e+05,-8.495607816012444857e-01
5.349940000000000000e+05,-2.059560781601244450e+00
5.399910000000000000e+05,-2.879560781601244734e+00
5.447580000000000000e+05,-3.549560781601245552e+00
5.498550000000000000e+05,-1.559560781601244450e+00
5.549480000000000000e+05,5.404392183987551945e-01
5.600770000000000000e+05,-8.995607816012451963e-01
5.649940000000000000e+05,2.510439218398755390e+00
5.750400000000000000e+05,3.210439218398755123e+00
5.800840000000000000e+05,3.120439218398755266e+00
5.849840000000000000e+05,-1.169560781601244770e+00
5.898300000000000000e+05,1.100439218398755248e+00
5.948210000000000000e+05,6.904392183987551057e-01
6.000960000000000000e+05,-4.095607816012449831e-01
6.048340000000000000e+05,1.070439218398755443e+00
6.253160000000000000e+05,2.380439218398755052e+00
6.294860000000000000e+05,-3.789560781601243988e+00
6.399480000000000000e+05,-4.259560781601244628e+00
6.451190000000000000e+05,-3.099560781601244486e+00
6.495220000000000000e+05,-2.489560781601245054e+00
6.546070000000000000e+05,-2.999560781601244841e+00
6.599700000000000000e+05,-3.439560781601244344e+00
6.650750000000000000e+05,-4.359560781601244273e+00
6.698520000000000000e+05,-2.659560781601244983e+00
6.801220000000000000e+05,-1.879560781601244734e+00
6.950720000000000000e+05,2.640439218398755283e+00
7.000270000000000000e+05,1.830439218398755230e+00
7.048250000000000000e+05,1.370439218398755266e+00
7.101780000000000000e+05,5.204392183987556209e-01
7.200010000000000000e+05,-2.549560781601244663e+00
7.249820000000000000e+05,-5.995607816012444857e-01
7.300500000000000000e+05,-7.295607816012443791e-01
7.348430000000000000e+05,4.304392183987548748e-01
7.397780000000000000e+05,-2.579560781601244912e+00
7.451710000000000000e+05,-3.829560781601244912e+00
7.598380000000000000e+05,-2.539560781601244877e+00
7.650160000000000000e+05,-5.195607816012444147e-01
7.698310000000000000e+05,7.404392183987553722e-01
7.747030000000000000e+05,1.110439218398755035e+00
7.848300000000000000e+05,3.430439218398755319e+00
7.995010000000000000e+05,-4.299560781601245552e+00
